R_mean,R_std,R_max,R_ratio,R_period,R_start,R_end,R_bsmean,R_bsstd,R_bsmax,R_bsratio,R_bsperiod
22.406015037593985,18.84644622330411,47,2.0976510067114096,133,29,162,1.0236506127610658,0.9856003795962276,0.9831081081081081,0.9584368281401342,1.025
23.36283185840708,20.632074843179517,50,2.140151515151515,113,162,275,,,,,
21.29824561403509,20.60443225379134,51,2.3945634266886326,114,275,389,,,,,
18.707070707070706,20.559473976907125,51,2.726241900647948,99,389,488,,,,,
19.72826086956522,20.90199868790874,52,2.6358126721763084,92,488,580,,,,,
23.485714285714284,20.954878639006974,49,2.0863746958637472,105,580,685,,,,,
21.118279569892472,20.16589768143696,49,2.3202647657841142,93,685,778,,,,,
23.275510204081634,21.428466957957205,51,2.1911442349846557,98,778,876,,,,,
23.28409090909091,20.484444687946848,48,2.061493411420205,88,876,964,,,,,
20.0,20.890950628964163,52,2.6,88,964,1052,,,,,
23.19047619047619,19.220819683277092,45,1.9404517453798769,84,1052,1136,,,,,
24.347826086956523,21.821626081466043,52,2.1357142857142857,92,1136,1228,,,,,
23.107142857142858,21.0780962009329,50,2.1638330757341575,84,1228,1312,,,,,
23.128712871287128,20.256114278657495,48,2.0753424657534247,101,1312,1413,,,,,
23.59550561797753,19.769298124613723,47,1.9919047619047618,89,1413,1502,,,,,
21.506849315068493,20.68890463520705,50,2.3248407643312103,73,1502,1575,,,,,
32.18,18.475594713026155,50,1.5537600994406464,50,1575,1625,,,,,
15.084615384615384,12.700717493593457,44,2.9168791432942376,130,1625,1755,,,,,
